source,source_url,jurisdiction,level,parent_title,node_title,normalized_title,node_type,branch,suggested_saudi_domain,suggested_hakeem_issue_path,mapping_type,confidence,needs_human_review,evidence_url,evidence_selector,evidence_snippet
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,2,موسوعة الأحكام,نماذج الأحكام,نماذج الاحكام,reasoning_template,موسوعة الأحكام,السوابق والمبادئ القضائية,المعاملات المدنية > التسبيب والحيثيات > نماذج الأحكام,structural_seed,0.75,True,https://w.emj-eg.com/,seed,نماذج الأحكام
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,3,نماذج الأحكام,صيغ ونماذج الأحكام المدنية,صيغ ونماذج الاحكام المدنيه,reasoning_template,موسوعة الأحكام,السوابق والمبادئ القضائية,المعاملات المدنية > التسبيب والحيثيات > صيغ ونماذج الأحكام المدنية,structural_seed,0.75,True,https://w.emj-eg.com/,seed,صيغ ونماذج الأحكام المدنية
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,3,نماذج الأحكام,صيغ ونماذج الأحكام الجنائية,صيغ ونماذج الاحكام الجناييه,reasoning_template,موسوعة الأحكام,السوابق والمبادئ القضائية,الجزائي > التسبيب والحيثيات > صيغ ونماذج الأحكام الجنائية,structural_seed,0.75,True,https://w.emj-eg.com/,seed,صيغ ونماذج الأحكام الجنائية
Egyptian Legal Encyclopedia,https://eg-pp.com/,EG,1,الموسوعة القانونية المصرية,موسوعة النيابة,موسوعه النيابه,encyclopedia_branch,موسوعة النيابة,الجزائي,الجزائي > مسائل عامة > موسوعة النيابة,structural_seed,0.9,True,https://eg-pp.com/,public_index,موسوعة النيابة
Egyptian Legal Encyclopedia,https://eg-pp.com/,EG,2,موسوعة النيابة,القيود والأوصاف,القيود والاوصاف,criminal_classification,موسوعة النيابة,الجزائي,الجزائي > التكييف الجنائي > القيود والأوصاف,structural_seed,0.75,True,https://eg-pp.com/,seed,القيود والأوصاف
Egyptian Legal Encyclopedia,https://eg-pp.com/,EG,3,القيود والأوصاف,قيود وأوصاف الجنايات,قيود واوصاف الجنايات,criminal_classification,موسوعة النيابة,الجزائي,الجزائي > التكييف الجنائي > قيود وأوصاف الجنايات,structural_seed,0.9,True,https://eg-pp.com/,seed,قيود وأوصاف الجنايات
Egyptian Legal Encyclopedia,https://eg-pp.com/,EG,3,القيود والأوصاف,قيود وأوصاف الجنح,قيود واوصاف الجنح,criminal_classification,موسوعة النيابة,الجزائي,الجزائي > التكييف الجنائي > قيود وأوصاف الجنح,structural_seed,0.9,True,https://eg-pp.com/,seed,قيود وأوصاف الجنح
Egyptian Legal Encyclopedia,https://eg-pp.com/,EG,3,القيود والأوصاف,قيود وأوصاف المخالفات,قيود واوصاف المخالفات,criminal_classification,موسوعة النيابة,الجزائي,الجزائي > التكييف الجنائي > قيود وأوصاف المخالفات,structural_seed,0.9,True,https://eg-pp.com/,seed,قيود وأوصاف المخالفات
Egyptian Legal Encyclopedia,https://eg-pp.com/,EG,2,موسوعة النيابة,التصرف في التحقيق,التصرف في التحقيق,prosecution_category,موسوعة النيابة,الجزائي,الجزائي > مسائل عامة > التصرف في التحقيق,structural_seed,0.6,True,https://eg-pp.com/,seed,التصرف في التحقيق
Egyptian Legal Encyclopedia,https://eg-pp.com/,EG,2,موسوعة النيابة,أوامر النيابة,اوامر النيابه,prosecution_category,موسوعة النيابة,الجزائي,الجزائي > مسائل عامة > أوامر النيابة,structural_seed,0.6,True,https://eg-pp.com/,seed,أوامر النيابة
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,1,الموسوعة القانونية المصرية,الموسوعة الجنائية,الموسوعه الجناييه,encyclopedia_branch,الموسوعة الجنائية,الجزائي,الجزائي > مسائل عامة > الموسوعة الجنائية,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,الموسوعة الجنائية
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,الموسوعة الجنائية,الدفوع الجنائية,الدفوع الجناييه,defense_issue,الموسوعة الجنائية,الإجراءات الجزائية / الجزائي,الجزائي > الدفوع > الدفوع الجنائية,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,الدفوع الجنائية
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,الدفوع الجنائية,الدفع بالبطلان,الدفع بالبطلان,defense_issue,الموسوعة الجنائية,الإجراءات الجزائية / الجزائي,الجزائي > الدفوع > الدفع بالبطلان,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,الدفع بالبطلان
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,الدفوع الجنائية,الدفع بانتفاء الركن المادي,الدفع بانتفاء الركن المادي,defense_issue,الموسوعة الجنائية,الإجراءات الجزائية / الجزائي,الجزائي > الدفوع > الدفع بانتفاء الركن المادي,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,الدفع بانتفاء الركن المادي
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,الدفوع الجنائية,الدفع بانتفاء القصد الجنائي,الدفع بانتفاء القصد الجنايي,defense_issue,الموسوعة الجنائية,الإجراءات الجزائية / الجزائي,الجزائي > الدفوع > الدفع بانتفاء القصد الجنائي,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,الدفع بانتفاء القصد الجنائي
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,الموسوعة الجنائية,البطلان والمواعيد,البطلان والمواعيد,legal_deadline,الموسوعة الجنائية,المرافعات / الإجراءات الجزائية / المحاكم التجارية,الجزائي > البطلان والمواعيد > البطلان والمواعيد,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,البطلان والمواعيد
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,البطلان والمواعيد,بطلان إجراءات الاستدلال,بطلان اجراءات الاستدلال,procedural_issue,الموسوعة الجنائية,المرافعات / الإجراءات الجزائية / المحاكم التجارية,الجزائي > البطلان والمواعيد > بطلان إجراءات الاستدلال,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,بطلان إجراءات الاستدلال
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,البطلان والمواعيد,المواعيد القانونية للطعن,المواعيد القانونيه للطعن,legal_deadline,الموسوعة الجنائية,المرافعات / الإجراءات الجزائية / المحاكم التجارية,الجزائي > البطلان والمواعيد > المواعيد القانونية للطعن,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,المواعيد القانونية للطعن
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,الموسوعة الجنائية,التكييف الجنائي وقيود الاتهام,التكييف الجنايي وقيود الاتهام,criminal_classification,الموسوعة الجنائية,الجزائي,الجزائي > التكييف الجنائي > التكييف الجنائي وقيود الاتهام,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,التكييف الجنائي وقيود الاتهام
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,1,الموسوعة القانونية المصرية,الموسوعة المدنية,الموسوعه المدنيه,encyclopedia_branch,الموسوعة المدنية,المعاملات المدنية / المرافعات,المعاملات المدنية > مسائل عامة > الموسوعة المدنية,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,الموسوعة المدنية
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,الموسوعة المدنية,الدفوع المدنية,الدفوع المدنيه,defense_issue,الموسوعة المدنية,المرافعات الشرعية / المعاملات المدنية,المرافعات والإجراءات > الدفوع > الدفوع المدنية,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,الدفوع المدنية
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,الدفوع المدنية,الدفع بعدم القبول,الدفع بعدم القبول,defense_issue,الموسوعة المدنية,المرافعات الشرعية / المعاملات المدنية,المرافعات والإجراءات > الدفوع > الدفع بعدم القبول,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,الدفع بعدم القبول
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,الدفوع المدنية,الدفع بعدم الاختصاص,الدفع بعدم الاختصاص,defense_issue,الموسوعة المدنية,المرافعات الشرعية / المعاملات المدنية,المرافعات والإجراءات > الدفوع > الدفع بعدم الاختصاص,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,الدفع بعدم الاختصاص
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,الدفوع المدنية,الدفع بالتقادم,الدفع بالتقادم,defense_issue,الموسوعة المدنية,المرافعات الشرعية / المعاملات المدنية,المرافعات والإجراءات > الدفوع > الدفع بالتقادم,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,الدفع بالتقادم
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,الموسوعة المدنية,البطلان والمواعيد المدنية,البطلان والمواعيد المدنيه,legal_deadline,الموسوعة المدنية,المرافعات / الإجراءات الجزائية / المحاكم التجارية,المرافعات والإجراءات > البطلان والمواعيد > البطلان والمواعيد المدنية,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,البطلان والمواعيد المدنية
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,البطلان والمواعيد المدنية,بطلان صحيفة الدعوى,بطلان صحيفه الدعوي,procedural_issue,الموسوعة المدنية,المرافعات / الإجراءات الجزائية / المحاكم التجارية,المرافعات والإجراءات > البطلان والمواعيد > بطلان صحيفة الدعوى,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,بطلان صحيفة الدعوى
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,3,البطلان والمواعيد المدنية,مواعيد الطعن المدني,مواعيد الطعن المدني,legal_deadline,الموسوعة المدنية,المرافعات / الإجراءات الجزائية / المحاكم التجارية,المرافعات والإجراءات > البطلان والمواعيد > مواعيد الطعن المدني,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,مواعيد الطعن المدني
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,الموسوعة المدنية,قواعد المواريث,قواعد المواريث,inheritance_issue,الموسوعة المدنية,الأحوال الشخصية / التركات,الأحوال الشخصية > التركات والمواريث > قواعد المواريث,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,قواعد المواريث
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,الموسوعة المدنية,منشورات الشهر العقاري,منشورات الشهر العقاري,real_estate_documentation,الموسوعة المدنية,التوثيق / العقار,التوثيق والعقار > الشهر العقاري > منشورات الشهر العقاري,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,منشورات الشهر العقاري
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,1,الموسوعة القانونية المصرية,القاموس القانوني,القاموس القانوني,encyclopedia_branch,القاموس القانوني,مفاهيم قانونية / مكنز,المفاهيم القانونية > المكنز القانوني > القاموس القانوني,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,القاموس القانوني
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,القاموس القانوني,المصطلحات القانونية,المصطلحات القانونيه,legal_dictionary,القاموس القانوني,مفاهيم قانونية / مكنز,المفاهيم القانونية > المكنز القانوني > المصطلحات القانونية,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,المصطلحات القانونية
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,2,القاموس القانوني,المكنز القانوني,المكنز القانوني,legal_dictionary,القاموس القانوني,مفاهيم قانونية / مكنز,المفاهيم القانونية > المكنز القانوني > المكنز القانوني,structural_seed,0.75,True,seed://egypt_moj_structural_seed,seed,المكنز القانوني
